"optimus_id", "age", "party", "ethnicity", "maritalstatus", "income", "cd", "dma"
335951,70.0,Democratic,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
804665,39.0,American Independent,European,Married,75k-125k,2.0,SALT LAKE CITY DMA (EST.)
805034,39.0,Republican,European,Married,75k-125k,2.0,SALT LAKE CITY DMA (EST.)
1079098,55.0,Non-Partisan,European,nan,75k-125k,4.0,SALT LAKE CITY DMA (EST.)
673469,49.0,Non-Partisan,European,nan,0-35k,3.0,LAS VEGAS DMA (EST.)
165316,68.0,Non-Partisan,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
1031430,65.0,Republican,Other,Married,75k-125k,2.0,RENO DMA (EST.)
776516,75.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
817707,74.0,Republican,nan,nan,0-35k,2.0,RENO DMA (EST.)
1052224,56.0,Democratic,European,Married,125k-200k,2.0,RENO DMA (EST.)
304427,30.0,Democratic,European,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
261257,68.0,Republican,European,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
79611,83.0,Democratic,Hispanic,Married,0-35k,1.0,LAS VEGAS DMA (EST.)
857371,70.0,Democratic,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
981988,44.0,Non-Partisan,Hispanic,nan,35k-75k,2.0,RENO DMA (EST.)
786722,67.0,Democratic,nan,nan,75k-125k,2.0,RENO DMA (EST.)
114075,74.0,Republican,European,Married,200k+,3.0,LAS VEGAS DMA (EST.)
975656,78.0,Democratic,European,nan,35k-75k,2.0,RENO DMA (EST.)
39346,41.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
369137,66.0,Democratic,African-American,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
262979,69.0,Non-Partisan,Hispanic,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
863795,35.0,Republican,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
180157,75.0,Democratic,Hispanic,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
263715,79.0,Democratic,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
241693,58.0,Democratic,European,nan,200k+,4.0,LAS VEGAS DMA (EST.)
69596,46.0,Republican,Hispanic,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
144650,69.0,Democratic,European,nan,125k-200k,4.0,LAS VEGAS DMA (EST.)
881743,51.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
135200,67.0,Republican,Other,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
504919,54.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
985215,71.0,Democratic,European,Married,0-35k,2.0,RENO DMA (EST.)
560834,56.0,Democratic,Hispanic,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
339844,56.0,Democratic,Hispanic,Married,35k-75k,1.0,LAS VEGAS DMA (EST.)
542069,56.0,Non-Partisan,Other,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
358687,91.0,Democratic,European,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
892367,56.0,Republican,European,nan,75k-125k,2.0,RENO DMA (EST.)
346030,53.0,Republican,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
828216,61.0,Non-Partisan,European,Married,75k-125k,4.0,RENO DMA (EST.)
994172,68.0,Other,European,Married,0-35k,2.0,RENO DMA (EST.)
174411,63.0,Democratic,European,Married,Unknown,4.0,LAS VEGAS DMA (EST.)
302093,55.0,Democratic,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
43227,29.0,Democratic,Hispanic,Non-Traditional,Unknown,3.0,LAS VEGAS DMA (EST.)
88191,50.0,Republican,Asian,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
887624,46.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
720506,30.0,Democratic,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
882778,79.0,Democratic,European,Married,0-35k,2.0,RENO DMA (EST.)
301297,78.0,Republican,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
823990,33.0,Republican,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
782038,71.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
650715,36.0,Democratic,Hispanic,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
557917,80.0,Democratic,European,Married,125k-200k,3.0,LAS VEGAS DMA (EST.)
226686,69.0,Republican,European,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
472460,75.0,Republican,European,nan,75k-125k,1.0,LAS VEGAS DMA (EST.)
327516,34.0,Republican,European,Non-Traditional,35k-75k,1.0,LAS VEGAS DMA (EST.)
738704,72.0,Non-Partisan,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
888956,58.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
83647,85.0,Democratic,nan,nan,0-35k,1.0,LAS VEGAS DMA (EST.)
355895,50.0,Republican,European,Non-Traditional,Unknown,4.0,LAS VEGAS DMA (EST.)
941797,81.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
386895,57.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
308450,82.0,Democratic,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
962741,52.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
293264,58.0,Democratic,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
771742,75.0,Republican,European,Married,125k-200k,2.0,RENO DMA (EST.)
234680,44.0,Democratic,Hispanic,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
687507,58.0,Republican,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
250348,63.0,Democratic,European,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
949589,69.0,Democratic,European,Non-Traditional,Unknown,2.0,RENO DMA (EST.)
179693,62.0,Republican,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
711108,82.0,Non-Partisan,Hispanic,nan,125k-200k,3.0,LAS VEGAS DMA (EST.)
600256,71.0,Republican,European,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
354493,68.0,Democratic,European,nan,125k-200k,4.0,LAS VEGAS DMA (EST.)
747725,45.0,Non-Partisan,nan,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
609637,55.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
322289,63.0,Democratic,European,Non-Traditional,Unknown,4.0,LAS VEGAS DMA (EST.)
863179,62.0,American Independent,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
462306,46.0,Republican,Hispanic,nan,75k-125k,1.0,LAS VEGAS DMA (EST.)
850,52.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
466010,48.0,Democratic,Hispanic,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
760649,45.0,Democratic,European,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
722935,58.0,American Independent,European,Married,Unknown,3.0,LAS VEGAS DMA (EST.)
527985,50.0,Republican,Hispanic,Married,35k-75k,1.0,LAS VEGAS DMA (EST.)
905751,90.0,American Independent,European,nan,35k-75k,2.0,RENO DMA (EST.)
514864,31.0,Non-Partisan,Hispanic,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
630716,64.0,Democratic,European,Non-Traditional,75k-125k,3.0,LAS VEGAS DMA (EST.)
881755,56.0,Other,European,nan,Unknown,2.0,RENO DMA (EST.)
654264,82.0,Democratic,European,nan,0-35k,1.0,LAS VEGAS DMA (EST.)
1043205,79.0,Republican,European,nan,75k-125k,2.0,RENO DMA (EST.)
1089971,80.0,Republican,European,Married,0-35k,2.0,RENO DMA (EST.)
692229,48.0,Non-Partisan,Hispanic,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
738248,71.0,Republican,Hispanic,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
436449,67.0,Democratic,European,Married,35k-75k,1.0,LAS VEGAS DMA (EST.)
1013782,89.0,Democratic,European,nan,75k-125k,2.0,RENO DMA (EST.)
404170,59.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
212637,33.0,Democratic,European,nan,125k-200k,4.0,LAS VEGAS DMA (EST.)
291031,48.0,Republican,European,Non-Traditional,35k-75k,4.0,LAS VEGAS DMA (EST.)
287959,41.0,Democratic,Hispanic,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
285573,45.0,Republican,European,Married,125k-200k,4.0,LAS VEGAS DMA (EST.)
749527,51.0,Democratic,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
1100057,63.0,Republican,European,nan,125k-200k,2.0,RENO DMA (EST.)
177357,40.0,Democratic,African-American,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
1096802,57.0,Democratic,nan,Married,Unknown,2.0,RENO DMA (EST.)
982720,56.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
903484,63.0,Republican,European,Married,Unknown,2.0,RENO DMA (EST.)
405853,55.0,Democratic,European,nan,75k-125k,1.0,LAS VEGAS DMA (EST.)
450612,68.0,Democratic,European,Married,35k-75k,1.0,LAS VEGAS DMA (EST.)
608509,83.0,Democratic,nan,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
886396,34.0,Republican,European,nan,Unknown,2.0,RENO DMA (EST.)
158332,49.0,Republican,European,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
1007017,49.0,Republican,European,nan,125k-200k,2.0,RENO DMA (EST.)
1023897,58.0,Democratic,European,nan,Unknown,2.0,RENO DMA (EST.)
1041894,39.0,Non-Partisan,European,nan,Unknown,2.0,RENO DMA (EST.)
139095,53.0,American Independent,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
923702,40.0,Non-Partisan,European,nan,Unknown,2.0,RENO DMA (EST.)
317236,64.0,Democratic,European,Non-Traditional,125k-200k,4.0,LAS VEGAS DMA (EST.)
892548,66.0,Republican,Hispanic,Non-Traditional,Unknown,2.0,RENO DMA (EST.)
958610,66.0,Democratic,European,nan,35k-75k,2.0,RENO DMA (EST.)
1071294,73.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
803681,41.0,Republican,nan,Married,Unknown,2.0,SALT LAKE CITY DMA (EST.)
106128,71.0,Republican,nan,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
590682,36.0,Republican,European,Non-Traditional,35k-75k,3.0,LAS VEGAS DMA (EST.)
515609,78.0,Democratic,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
267666,63.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
210114,68.0,Republican,European,Married,125k-200k,4.0,LAS VEGAS DMA (EST.)
965246,54.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
825105,87.0,Republican,European,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
779843,65.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
496762,35.0,Democratic,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
122623,73.0,Republican,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
884618,54.0,Democratic,European,nan,75k-125k,2.0,RENO DMA (EST.)
332668,43.0,Republican,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
1082162,61.0,Republican,European,nan,Unknown,4.0,SALT LAKE CITY DMA (EST.)
96823,73.0,Democratic,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
780036,88.0,Non-Partisan,nan,nan,35k-75k,2.0,RENO DMA (EST.)
116585,81.0,Republican,European,Married,Unknown,3.0,LAS VEGAS DMA (EST.)
536760,74.0,Democratic,nan,nan,0-35k,1.0,LAS VEGAS DMA (EST.)
914480,68.0,Democratic,European,nan,Unknown,2.0,RENO DMA (EST.)
883355,62.0,Democratic,European,nan,0-35k,2.0,RENO DMA (EST.)
283102,70.0,Republican,European,Married,125k-200k,4.0,LAS VEGAS DMA (EST.)
188920,45.0,Democratic,European,Married,125k-200k,4.0,LAS VEGAS DMA (EST.)
766006,67.0,Democratic,European,Non-Traditional,35k-75k,3.0,LAS VEGAS DMA (EST.)
1075263,60.0,Non-Partisan,European,Married,35k-75k,2.0,RENO DMA (EST.)
860299,68.0,Democratic,European,Married,Unknown,4.0,LAS VEGAS DMA (EST.)
8283,67.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
818968,62.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
263082,62.0,Republican,Hispanic,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
637530,41.0,Democratic,Hispanic,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
785944,50.0,Republican,European,nan,Unknown,2.0,RENO DMA (EST.)
273969,42.0,Democratic,Hispanic,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
1002976,46.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
551117,44.0,Democratic,Asian,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
238596,79.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
629452,43.0,Republican,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
92932,49.0,Democratic,European,Married,0-35k,1.0,LAS VEGAS DMA (EST.)
1074092,65.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
384918,73.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
166317,52.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
453940,68.0,Democratic,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
421652,53.0,Democratic,European,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
322718,36.0,Democratic,nan,Married,Unknown,4.0,LAS VEGAS DMA (EST.)
674987,65.0,Democratic,European,Non-Traditional,75k-125k,3.0,LAS VEGAS DMA (EST.)
903841,72.0,Republican,European,nan,35k-75k,2.0,RENO DMA (EST.)
93418,53.0,Republican,European,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
1028827,37.0,Non-Partisan,European,nan,75k-125k,2.0,RENO DMA (EST.)
1045697,47.0,Democratic,nan,Married,75k-125k,2.0,RENO DMA (EST.)
335937,82.0,Republican,European,nan,75k-125k,4.0,LAS VEGAS DMA (EST.)
806700,46.0,Republican,European,nan,Unknown,2.0,SALT LAKE CITY DMA (EST.)
663770,68.0,Republican,European,nan,200k+,3.0,LAS VEGAS DMA (EST.)
1091586,86.0,Non-Partisan,nan,nan,125k-200k,2.0,RENO DMA (EST.)
831852,81.0,Democratic,European,Married,0-35k,2.0,RENO DMA (EST.)
906503,54.0,Democratic,nan,Married,Unknown,2.0,RENO DMA (EST.)
548687,52.0,Republican,European,Married,Unknown,3.0,LAS VEGAS DMA (EST.)
92015,59.0,Democratic,European,Married,125k-200k,1.0,LAS VEGAS DMA (EST.)
459551,82.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
418960,60.0,Republican,Hispanic,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
921499,59.0,Republican,European,Married,Unknown,2.0,RENO DMA (EST.)
942951,45.0,Non-Partisan,Hispanic,Married,125k-200k,2.0,RENO DMA (EST.)
902005,36.0,Republican,European,Married,Unknown,2.0,RENO DMA (EST.)
349764,55.0,Democratic,Hispanic,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
333347,61.0,Republican,European,nan,125k-200k,4.0,LAS VEGAS DMA (EST.)
1002390,51.0,Republican,Hispanic,Married,125k-200k,2.0,RENO DMA (EST.)
773868,80.0,Non-Partisan,nan,nan,35k-75k,2.0,RENO DMA (EST.)
147951,47.0,Republican,European,Married,125k-200k,4.0,LAS VEGAS DMA (EST.)
870736,63.0,Democratic,European,Married,Unknown,4.0,LAS VEGAS DMA (EST.)
600088,51.0,Republican,European,nan,125k-200k,3.0,LAS VEGAS DMA (EST.)
1103120,57.0,Republican,European,nan,75k-125k,2.0,RENO DMA (EST.)
122543,46.0,Republican,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
811006,44.0,Republican,European,nan,Unknown,2.0,SALT LAKE CITY DMA (EST.)
1060561,71.0,Democratic,European,nan,125k-200k,2.0,RENO DMA (EST.)
553025,56.0,Democratic,European,Non-Traditional,125k-200k,3.0,LAS VEGAS DMA (EST.)
1035850,41.0,Democratic,Hispanic,nan,Unknown,2.0,RENO DMA (EST.)
508974,85.0,Republican,Other,Married,Unknown,1.0,LAS VEGAS DMA (EST.)
440669,58.0,Democratic,Hispanic,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
1077513,67.0,Republican,European,Married,Unknown,2.0,RENO DMA (EST.)
774691,74.0,Non-Partisan,Hispanic,nan,0-35k,2.0,RENO DMA (EST.)
755730,59.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
816898,58.0,Republican,European,Married,125k-200k,2.0,RENO DMA (EST.)
1085576,65.0,Democratic,Hispanic,Married,75k-125k,2.0,RENO DMA (EST.)
295416,71.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
301592,58.0,Democratic,European,Married,0-35k,4.0,LAS VEGAS DMA (EST.)
803163,58.0,Republican,Hispanic,nan,Unknown,2.0,SALT LAKE CITY DMA (EST.)
859472,60.0,Non-Partisan,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
1030440,55.0,Republican,European,Non-Traditional,75k-125k,2.0,RENO DMA (EST.)
80307,49.0,Democratic,European,nan,75k-125k,1.0,LAS VEGAS DMA (EST.)
306609,75.0,Non-Partisan,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
601955,58.0,Non-Partisan,European,nan,125k-200k,3.0,LAS VEGAS DMA (EST.)
784444,71.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
152172,64.0,Republican,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
39376,35.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
1003713,53.0,Democratic,European,Married,125k-200k,2.0,RENO DMA (EST.)
371200,72.0,Democratic,Hispanic,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
194434,52.0,Republican,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
880407,82.0,Democratic,European,nan,75k-125k,2.0,RENO DMA (EST.)
666741,82.0,Democratic,Hispanic,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
493115,44.0,Democratic,nan,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
562983,63.0,Republican,European,nan,125k-200k,3.0,LAS VEGAS DMA (EST.)
45649,33.0,Democratic,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
695443,34.0,Republican,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
96683,68.0,Democratic,nan,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
928011,65.0,American Independent,European,nan,0-35k,2.0,RENO DMA (EST.)
554363,74.0,Democratic,European,nan,0-35k,3.0,LAS VEGAS DMA (EST.)
691973,72.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
531601,60.0,American Independent,Hispanic,Married,Unknown,3.0,LAS VEGAS DMA (EST.)
799853,65.0,Non-Partisan,Hispanic,nan,35k-75k,2.0,SALT LAKE CITY DMA (EST.)
736383,76.0,Democratic,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
821958,53.0,Democratic,European,Married,75k-125k,2.0,RENO DMA (EST.)
536525,77.0,Republican,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
267917,85.0,Republican,European,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
1096394,56.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
830756,61.0,Republican,European,Married,Unknown,4.0,RENO DMA (EST.)
69237,73.0,Democratic,European,Married,200k+,3.0,LAS VEGAS DMA (EST.)
791526,79.0,Democratic,European,Married,35k-75k,2.0,RENO DMA (EST.)
75061,69.0,Democratic,European,nan,75k-125k,1.0,LAS VEGAS DMA (EST.)
528854,68.0,Democratic,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
216081,50.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
463919,51.0,Republican,Hispanic,Married,35k-75k,1.0,LAS VEGAS DMA (EST.)
131415,50.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
919242,38.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
939910,31.0,Democratic,European,Married,Unknown,2.0,RENO DMA (EST.)
951520,57.0,Non-Partisan,nan,Married,75k-125k,2.0,RENO DMA (EST.)
774312,61.0,Democratic,European,nan,35k-75k,2.0,RENO DMA (EST.)
1030772,65.0,Democratic,European,Married,75k-125k,2.0,RENO DMA (EST.)
381619,43.0,Non-Partisan,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
1027259,63.0,Democratic,nan,Married,Unknown,2.0,RENO DMA (EST.)
520192,44.0,Republican,nan,Married,200k+,1.0,LAS VEGAS DMA (EST.)
378312,56.0,Democratic,Hispanic,Non-Traditional,35k-75k,4.0,LAS VEGAS DMA (EST.)
275144,45.0,Democratic,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
123824,74.0,Republican,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
209021,50.0,Democratic,nan,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
103316,76.0,Democratic,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
559,58.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
885497,71.0,Non-Partisan,Other,Married,0-35k,2.0,RENO DMA (EST.)
912510,67.0,Democratic,European,nan,75k-125k,2.0,RENO DMA (EST.)
1098745,81.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
782886,72.0,Non-Partisan,European,Married,75k-125k,2.0,RENO DMA (EST.)
122748,76.0,Non-Partisan,nan,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
295262,71.0,Democratic,European,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
252226,46.0,Non-Partisan,European,Non-Traditional,Unknown,3.0,LAS VEGAS DMA (EST.)
798099,56.0,Republican,European,nan,Unknown,2.0,RENO DMA (EST.)
626003,41.0,Republican,European,nan,Unknown,1.0,LAS VEGAS DMA (EST.)
855009,79.0,Republican,European,nan,0-35k,4.0,RENO DMA (EST.)
26643,68.0,Republican,Hispanic,nan,125k-200k,3.0,LAS VEGAS DMA (EST.)
809858,61.0,Democratic,nan,Married,75k-125k,2.0,SALT LAKE CITY DMA (EST.)
793826,71.0,Republican,European,nan,0-35k,2.0,RENO DMA (EST.)
901918,41.0,Republican,European,nan,75k-125k,2.0,RENO DMA (EST.)
376429,75.0,Democratic,nan,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
834056,67.0,Republican,European,Married,35k-75k,2.0,RENO DMA (EST.)
106776,41.0,Non-Partisan,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
767968,74.0,Republican,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
685471,57.0,American Independent,European,Married,75k-125k,1.0,LAS VEGAS DMA (EST.)
414343,39.0,Non-Partisan,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
827636,55.0,Republican,European,nan,75k-125k,4.0,RENO DMA (EST.)
